Area,Bedrooms,Bathrooms,Age,Price
1647,1,4,4,368581
4782,1,4,21,716785
3897,3,3,5,693402
3011,4,1,28,573453
2294,2,1,20,392332
1159,3,2,2,347033
3311,3,3,14,620450
1869,2,2,4,391366
2486,2,1,27,385953
646,1,1,23,131824
3719,3,4,13,715564
3411,5,3,17,719328
2234,2,1,15,390485
2343,2,4,5,512546
988,4,3,24,389933
3476,5,2,23,704947
2459,5,3,13,635120
2885,2,3,26,503207
3419,1,1,23,465437
2302,4,1,7,511397
4561,5,3,28,874635
3869,2,1,6,604212
762,5,1,7,365604
1123,4,1,12,347174
1516,4,4,5,491247
4143,3,4,17,731106
2549,2,3,1,489573
4223,4,1,7,737001
3608,3,4,10,703214
4590,3,3,0,786340
2556,5,1,21,552439
3670,5,2,28,727481
2182,3,1,5,428190
2755,5,1,15,611958
1654,4,4,26,504501
4999,1,3,19,729249
3691,4,3,11,733648
2196,3,4,10,521096
4491,3,1,28,699921
2148,4,2,26,489608
1945,5,1,28,465790
4699,5,1,9,836879
4423,3,2,2,730329
753,2,4,12,291389
3683,5,3,26,758450
3057,4,4,2,700168
598,5,4,14,413627
2700,4,1,15,534284
3461,3,3,28,641299
4933,5,3,12,909081
4277,4,4,16,798779
3369,3,2,2,617768
3734,2,4,19,646107
4291,4,2,10,753613
1456,2,3,26,327641
4567,2,4,20,738350
660,1,1,18,152108
4993,5,4,21,932546
1800,4,3,10,508263
4487,2,1,29,647852
2027,1,1,27,293543
1718,3,2,15,393402
4996,4,1,20,798467
3604,2,1,2,546410
3235,5,4,21,755370
1454,1,3,5,289987
3946,2,2,13,601956
1545,5,4,23,539551
2193,2,1,17,367778
3936,4,1,16,675070
1062,4,2,3,380562
2985,4,3,22,613554
3854,1,2,14,569459
725,4,4,10,397900
1459,5,2,25,453920
3567,2,1,2,573207
1315,3,4,2,410837
3620,5,1,15,708033
516,5,3,4,402415
1743,4,1,20,415008
2705,1,1,28,393083
3024,2,2,9,501717
1569,1,1,18,264349
3944,2,4,24,656650
3065,2,4,3,571211
1560,1,3,28,318333
2827,5,4,28,691739
3920,2,2,18,622625
801,1,3,10,206812
4776,2,4,1,801046
1106,3,2,9,347966
3670,5,4,28,801564
1199,4,4,10,442328
1639,2,1,24,292753
690,3,4,19,349214
2800,4,4,15,626209
1480,4,2,18,406133
3475,2,2,22,556061
1684,1,1,23,246291
3827,2,4,10,659167
3894,3,1,13,626207
627,4,4,1,398834
2565,2,3,22,465116
2316,1,3,27,383097
1069,2,1,4,245126
2395,5,1,26,529333
3233,1,1,4,482204
4363,3,2,18,697640
4514,4,2,20,767769
3401,2,2,11,563243
2186,1,1,17,313117
3509,5,4,3,776426
654,1,3,21,197358
3037,5,1,16,642112
1909,3,2,9,427733
4557,4,2,19,793980
1284,3,1,5,310264
3675,2,1,24,561493
4841,1,2,13,682766
3306,5,4,10,758915
1037,5,2,10,410046
2341,1,2,28,346876
2955,1,1,17,414155
1024,2,4,26,321729
3450,3,2,22,600690
4631,5,2,21,851067
4615,2,3,17,739989
2868,3,1,23,519468
4347,2,3,22,695425
4995,5,3,10,942098
3201,1,2,20,470086
1471,1,1,11,256617
1666,3,4,4,461802
3274,4,2,22,615555
2482,3,4,8,552849
1353,4,4,26,464203
4646,2,1,24,673313
4236,2,3,8,709836
4269,5,1,21,790151
1074,4,4,9,437737
3761,5,2,21,739947
1648,1,4,18,348325
2215,4,2,0,531825
4354,3,2,6,734312
2991,1,1,3,425702
3160,1,4,0,567850
3624,3,3,14,663246
3551,1,4,7,597677
504,4,4,11,355278
1376,5,3,21,473747
1491,1,1,21,230386
4642,4,4,17,852760
4864,2,4,14,806972
4965,4,2,16,826359
1135,5,4,28,477358
2193,4,3,13,551076
2182,3,2,13,460897
619,5,1,17,353172
1330,2,2,19,292306
4175,3,3,17,716070
1869,4,3,15,480204
1240,5,2,0,465278
616,2,1,22,167426
3338,3,2,26,599723
1650,2,1,10,322604
2431,4,2,14,533030
1512,2,3,11,348666
2164,1,4,7,414461
1581,3,4,21,424235
1012,2,1,19,248573
3349,4,1,29,599852
1059,4,1,5,364172
4172,2,3,2,680050
3843,4,2,27,693682
4570,5,3,23,854495
1970,5,4,25,584447
1080,5,1,29,381070
2794,1,2,12,421811
3647,2,4,12,662678
4749,1,4,1,741283
2179,4,4,4,586602
4006,1,3,16,601660
3244,4,1,5,624111
3856,4,4,1,772999
4545,3,1,3,740620
1743,5,3,21,514637
3618,4,4,25,726560
2641,3,3,10,533390
3559,5,3,7,742142
3459,4,1,11,633960
2765,4,4,7,659381
2979,1,3,10,481788
2135,1,4,21,411227
2257,5,1,19,542560
4952,4,3,7,892321
2570,2,1,28,400106
3349,1,4,7,554717
3751,5,4,25,813719
4230,4,1,29,725424
2989,4,2,16,615753
2131,2,3,19,438808
3316,5,4,19,757032
1515,4,4,22,486099
1848,1,3,15,361217
3587,2,1,13,557503
3339,5,1,29,635597
835,2,1,10,203136
1395,1,2,6,288030
4046,5,2,15,775026
1351,2,4,12,378925
2187,3,1,26,410758
2431,1,3,14,423746
4246,1,4,23,664192
2927,1,3,15,494657
2068,3,4,26,499441
4500,3,2,20,738091
3238,4,4,22,704888
3998,2,2,23,615370
4413,4,4,8,822639
1566,2,1,2,325770
4880,3,3,18,808190
2944,3,1,19,525231
4607,4,4,4,864167
3873,5,4,9,818515
4469,4,4,16,827515
3046,2,2,14,508717
1253,4,3,22,419833
2582,1,3,24,407871
3274,2,4,7,600167
3396,2,4,14,632199
4685,5,2,20,864430
1275,3,1,29,303037
2125,2,1,13,379052
3569,3,3,19,632620
917,4,2,27,324181
614,1,4,6,243105
1116,5,3,20,453201
4474,3,2,22,725305
3767,2,1,11,585846
1325,3,2,16,365113
2016,2,1,16,340190
3646,3,2,9,623203
912,2,3,29,290324
1228,4,1,28,359169
3848,2,3,18,648312
3308,2,3,13,557746
1175,1,1,10,212650
3965,2,1,1,613506
3004,1,4,17,502670
3467,5,4,6,798236
3286,1,4,11,572769
1622,4,3,25,479301
4579,1,3,1,698189
2071,5,4,26,587412
2643,4,3,19,577803
2187,3,3,17,475383
4632,3,1,5,731882
4351,1,1,23,565989
3940,1,3,9,604718
4266,5,4,19,871299
2826,5,2,14,640394
3414,2,4,4,623376
4452,5,2,19,808202
1095,2,4,2,343251
1228,4,1,4,358656
1865,1,3,29,329545
4992,4,3,24,850770
1198,5,1,7,410681
895,4,2,7,373294
4671,4,2,7,799122
4860,4,2,11,829775
3002,5,1,23,616263
2319,4,2,22,512277
1217,2,1,7,266790
3282,5,4,10,756677
4077,4,4,13,791237
643,5,1,7,369599
3640,3,3,28,651867
4991,2,4,29,790843
3438,4,2,23,638436
4136,3,1,27,632207
3722,3,2,9,664494
1667,5,2,6,520988
3116,3,3,27,569761
1562,2,2,16,340196
2656,2,3,3,491760
3482,1,4,28,550144
3794,2,1,12,583621
1656,3,2,3,390478
1232,2,1,4,270850
4830,5,2,25,876258
1453,1,1,21,251142
3039,3,2,3,553055
3824,1,2,17,565829
3801,3,2,5,663212
2042,5,2,23,512530
1691,1,2,23,273649
3493,4,2,22,643134
3181,3,2,21,570400
1717,4,2,1,463364
2040,1,2,22,344134
3736,4,1,10,669718
2886,4,3,27,623970
4219,1,2,13,604572
1888,5,3,29,553315
2356,4,2,4,557073
1865,4,2,5,461959
999,5,1,9,403506
2180,4,4,7,583951
1010,4,4,13,445498
4812,4,1,23,781505
1824,2,3,2,408518
1655,5,4,11,538673
2327,4,1,15,493011
3641,5,1,27,705381
3986,3,4,29,728640
2310,3,3,22,479540
3423,4,1,16,639684
2714,5,2,0,631864
4686,5,3,22,862900
1213,5,3,9,485527
4102,2,4,24,670399
4634,3,4,22,797980
4022,5,2,9,775080
4768,5,1,20,826838
1743,2,4,23,398181
4209,2,4,1,710852
1581,5,3,8,503347
955,1,4,21,251819
1394,5,4,12,528744
1884,5,4,24,582312
2458,2,4,15,488448
3572,2,3,17,616589
2496,5,2,18,611452
4785,5,2,11,872181
1004,5,1,7,374381
1714,2,4,16,412124
2031,5,3,14,567781
3940,5,1,9,726681
1323,4,1,14,384623
1428,1,2,14,252982
633,3,3,22,275338
2605,1,3,6,444232
4127,4,3,12,781551
2352,3,2,16,461890
4675,5,2,8,850036
3433,4,2,7,684215
3784,5,2,19,747579
4798,2,2,25,727776
3311,4,4,26,675923
1750,2,4,20,417773
4012,4,3,17,754377
1756,4,1,12,421352
3876,2,3,15,650727
3986,3,1,8,656657
4084,1,2,11,569300
1896,5,1,11,481338
4137,4,3,5,768789
3830,5,3,18,767218
3203,2,1,27,494824
970,5,4,6,497744
1853,2,2,24,356615
3283,5,2,2,706259
3331,1,3,15,506182
857,1,4,17,251745
3519,1,1,15,492200
1167,1,2,22,224292
4968,1,4,6,774996
1645,1,2,3,290153
4685,2,4,26,750375
4219,4,4,24,788471
3245,5,3,29,698298
1039,1,2,7,226662
3279,2,1,12,506102
4636,2,3,12,715321
4275,2,3,16,690283
3008,4,1,16,576395
3279,5,3,4,736703
1424,4,4,5,503124
3456,3,4,18,676744
2081,2,2,12,408454
3824,3,2,24,625395
4985,1,1,27,632391
755,1,2,25,187864
2338,4,4,13,573857
2444,5,1,21,560136
509,3,1,3,226414
3371,5,2,27,691682
1297,4,4,6,455648
1515,1,1,7,242787
2324,5,4,24,635846
4969,5,4,12,937612
3636,1,4,26,561107
2693,3,2,5,547150
723,1,3,5,211633
4658,5,3,23,872966
4425,3,1,27,684225
4500,3,4,20,806444
2133,1,2,29,352300
2652,5,4,2,705923
1010,4,4,27,399233
884,5,2,2,401868
904,2,3,12,282169
2500,4,4,21,600598
3256,3,4,1,677200
2168,4,3,15,544863
1960,3,2,21,404266
4136,3,1,28,635853
3224,4,3,5,666983
4678,3,1,7,718976
2548,3,1,22,482258
4646,2,3,7,732292
1216,5,4,29,490769
2323,5,1,24,527700
2581,2,1,5,431652
3919,4,2,13,727049
2074,1,4,2,421528
749,1,1,9,173846
1173,1,2,2,256537
2665,2,4,26,526367
1270,2,3,11,328574
4462,3,3,16,753238
4863,1,2,26,665118
2484,4,3,28,540258
1577,4,1,4,415710
735,1,4,29,226318
888,1,1,19,170176
3537,1,1,24,461238
2348,2,3,8,451361
3314,2,1,29,504043
3874,2,3,20,617675
3778,5,4,25,810286
1752,4,4,19,528596
4481,4,1,6,749017
2622,3,2,21,486724
2650,2,3,3,515329
1829,5,3,12,538590
1858,5,1,12,471691
2982,4,3,9,619969
2517,2,3,17,483062
1831,3,2,16,395325
4844,2,2,19,714250
4761,1,1,19,641585
1858,2,2,12,383290
3677,1,1,16,488173
2628,1,4,21,459547
2680,3,1,3,504391
637,4,4,0,401340
3972,2,1,0,591714
3332,1,3,14,532266
4079,2,2,12,657347
3531,4,4,16,708613
4664,4,1,23,780838
3093,5,2,25,655933
4800,4,1,7,783239
4318,3,2,17,712023
4638,1,2,26,623992
4323,5,1,12,801899
4542,3,4,22,774555
2406,2,4,13,507390
1260,1,3,7,303294
3945,4,2,7,721005
1399,1,3,26,267466
4955,2,3,25,775285
3447,5,1,14,690826
2219,5,1,26,527208
780,5,1,12,374328
3766,4,2,6,703471
2387,3,1,4,463933
3766,3,1,16,616631
1166,1,2,27,222959
4688,4,2,24,815121
1171,5,4,28,472467
2469,5,1,15,573615
4656,2,1,22,662579
3622,2,1,1,566762
4400,5,4,21,858577
1023,5,1,17,394110
2893,4,4,16,664958
3617,3,3,29,656938
3093,2,4,6,581041
2468,3,3,12,514945
2253,4,1,17,470051
2796,5,3,28,644817
2761,3,4,13,574678
2786,5,2,29,614901
4702,5,3,17,868702
3378,1,3,12,528871
4643,3,1,10,717730
4144,3,4,20,742754
4932,5,3,29,889877
2555,4,3,20,584729
1776,1,3,15,331506
3266,5,3,22,696141
802,2,2,16,243714
1138,2,4,7,350605
555,1,1,18,134383
1025,4,1,19,318922
4623,5,2,14,853466
2625,3,4,8,589479
3787,1,3,19,560618
864,4,2,9,364702
2146,3,4,11,511760
1418,2,3,20,346380
3297,2,2,22,550376
2031,3,4,19,477436
3845,1,1,29,508974
2406,2,1,0,416439
3586,5,4,24,764501
2575,3,1,19,470213
1213,3,4,8,393940
1562,2,3,21,337055
2476,1,4,14,433583
1796,5,3,0,567493
625,1,2,11,163158
4096,4,4,2,810171
3783,4,2,10,687118
2103,2,1,1,381368
566,2,3,15,227858
732,2,4,8,318025
2656,4,2,14,567108
1669,1,3,11,318161
2658,1,3,0,444563
4706,2,1,12,697700
1993,5,1,13,508664
4507,1,3,24,653606
2972,4,3,24,631026
3160,3,4,7,633895
3239,3,3,7,619476
2261,3,4,26,509879
4014,5,3,29,811594
2475,2,1,11,429139
2862,4,4,0,681773
1376,5,2,10,453922
4312,4,1,7,728747
3948,4,4,9,797974
1812,2,4,29,422599
1960,3,2,18,418716
3209,2,4,10,604166
2824,5,3,6,683360
2233,5,2,10,586697
2105,5,1,16,505865
3063,2,1,0,483014
3921,4,3,25,751438
4017,4,1,28,690221
2897,1,4,20,493026
4235,5,4,20,877382
3370,4,3,7,704825
1660,1,1,22,261527
742,4,1,23,297221
3090,5,3,5,707252
1563,3,2,21,394808
4824,5,1,17,855631
3095,2,2,5,528391
1419,4,1,4,386196
505,4,1,12,268743
967,2,1,18,233895
4670,2,1,21,664981
503,3,4,7,305267
1145,4,2,8,398824
617,4,2,16,321348
3428,3,1,2,606302
3051,1,1,18,435077
4789,3,2,10,780144
1346,5,4,23,512169
3262,4,3,16,672565
1641,2,3,20,381678
2310,5,2,18,554796
1223,4,1,1,372134
724,3,1,7,243655
4708,5,4,18,924348
2548,4,3,6,590789
4915,1,4,27,731245
2073,1,3,26,357405
2328,2,2,16,434465
2417,4,3,5,568708
4734,1,4,18,716040
2526,3,4,23,541477
4244,4,4,5,841483
1401,3,2,27,346924
2539,3,3,1,538306
509,1,3,5,204212
760,4,4,22,377151
2173,5,3,4,583209
2719,1,1,18,387345
2560,1,1,19,384167
4213,4,1,3,752096
2119,4,3,21,512410
820,3,2,25,287224
1842,4,2,16,482033
2876,3,2,10,556995
3332,1,2,3,492894
3324,2,1,25,518153
2494,5,1,12,558112
3458,1,4,19,575630
2538,4,3,25,572412
3990,5,3,16,806420
4177,2,2,8,661547
1618,2,1,3,302711
2104,3,2,22,448292
4527,5,4,27,880039
735,3,3,13,321512
2469,1,3,18,437900
4929,5,2,25,857929
2408,1,4,27,436386
875,3,3,2,358427
4030,5,4,13,852151
3135,3,4,7,643477
2070,5,2,23,550889
3060,3,1,26,510837
3891,2,2,27,615613
3465,3,1,0,585624
4143,2,4,9,715110
4350,3,1,17,688488
1372,5,4,15,538648
1752,5,3,7,523455
1814,5,3,0,549203
3398,4,3,11,677124
577,1,2,7,155393
3121,5,2,23,665354
4727,2,4,15,786714
1100,5,3,17,469335
1565,4,2,3,435200
2636,2,3,5,491665
2949,4,2,11,616776
2843,2,1,26,445054
2363,3,1,8,464459
1818,1,3,14,352389
4097,1,4,15,632223
4262,4,2,23,733337
2690,1,2,11,407801
1492,4,1,23,370607
3212,4,1,22,582711
2692,4,4,13,621743
1748,1,4,12,361089
3554,4,4,24,737989
4533,1,3,1,669216
2497,4,1,2,507868
4187,5,3,25,822186
2651,4,1,23,521798
4518,2,1,29,660212
3610,4,2,21,675385
2470,3,1,9,481086
697,4,1,8,297085
3126,2,3,25,553386
1702,2,1,19,298049
2535,1,3,7,454929
977,5,4,9,494787
1754,4,1,18,437366
1422,1,1,2,235031
919,5,3,23,407425
2704,4,4,4,634409
3097,3,2,2,583966
1620,4,4,25,499391
3568,2,3,26,609493
1450,2,4,15,375576
2836,3,3,16,583725
2743,1,3,14,463624
3145,5,2,2,673643
2357,4,1,11,513441
2365,2,3,8,448210
3412,1,3,20,511260
3353,3,2,11,616649
3728,2,3,25,631010
4219,3,1,14,686915
3728,4,2,1,693825
2871,5,1,22,614959
3391,2,1,17,527234
4256,2,2,19,651303
4725,4,3,11,853155
594,1,1,22,148151
3174,5,1,3,650077
2455,2,1,22,412111
1293,5,1,15,415584
2334,2,2,22,398320
2616,5,2,15,593551
4606,3,4,0,812319
3825,2,4,21,662658
3419,5,1,24,684125
3097,1,3,1,523214
3705,3,1,29,612136
1314,3,3,2,383675
845,1,1,25,161586
2849,5,4,20,701125
862,4,4,24,402253
2943,1,3,19,467436
2765,5,1,16,595789
2688,1,3,19,436306
3505,1,4,21,568157
3781,2,1,20,571780
1484,5,1,29,415648
2139,4,3,28,534049
1327,2,2,0,318281
3230,1,3,19,494680
4031,1,4,5,642574
4951,1,4,28,718279
3435,5,4,14,775225
4376,5,4,25,854488
626,2,4,25,284205
3677,4,2,13,695334
3556,2,1,19,518950
1103,3,3,14,355877
3949,1,3,13,604871
4646,1,4,24,684821
4033,1,3,20,612570
3867,2,4,23,656967
3868,2,2,24,614838
4297,1,2,25,605106
2292,2,1,4,395944
3361,5,2,5,714401
3976,5,2,16,775474
3917,2,1,10,597801
2145,1,3,15,380700
1705,2,4,11,423091
3530,2,4,14,645125
3372,2,3,22,579172
3572,3,1,3,592104
2354,5,3,26,593042
4521,4,2,17,774203
3208,4,1,20,607594
4002,3,1,27,613300
1832,2,1,2,337109
701,3,4,21,336185
4007,3,3,7,696735
4712,1,1,22,618763
1074,5,1,2,399232
1036,4,1,7,365911
2125,2,3,17,438890
2622,4,4,9,637656
885,4,2,24,334162
3781,5,4,19,818022
974,4,1,16,330726
917,4,4,7,407051
4100,3,4,22,739782
1454,5,2,10,456635
1705,1,3,28,336325
4620,2,3,4,729596
2490,4,4,25,595509
4072,2,4,12,689967
4880,1,3,20,721074
4658,2,3,22,739729
3213,1,2,4,496260
2703,3,1,23,476180
3620,4,4,26,719291
1466,1,3,12,318549
3932,2,4,5,672109
1188,4,4,28,422880
4743,3,3,4,795900
4201,4,2,8,772017
841,1,4,26,255850
2224,3,2,15,459165
4922,2,3,1,774020
2292,3,1,0,446400
2259,3,1,7,429478
3712,5,4,27,773969
1489,3,3,18,409742
2762,3,2,29,529126
2982,4,4,10,665291
1451,2,3,27,324057
1222,4,3,11,445526
3889,4,2,11,706540
2579,1,4,6,478622
3217,4,3,25,656319
2832,5,3,12,685946
3876,5,3,26,795028
2000,1,2,7,337201
785,2,4,28,303911
3995,2,4,28,660397
2565,4,4,21,606975
1268,4,4,27,428385
3557,4,1,25,647068
4789,2,1,29,678790
2661,3,4,8,572074
3793,5,2,6,765815
1446,3,1,25,311634
3835,3,3,20,686702
4650,2,1,23,665028
1981,3,3,14,461307
2401,1,4,1,472453
3951,4,1,22,665294
4564,1,2,19,654078
554,5,1,24,338409
2323,4,1,11,482081
3962,3,1,0,665875
3579,5,4,22,764579
1332,4,2,21,402600
4908,3,1,7,753320
3306,1,2,4,493033
2990,4,4,14,665262
827,3,3,0,325041
3810,1,1,0,531330
3800,5,2,24,736271
4175,5,2,9,798075
3554,5,4,21,792399
2643,5,1,9,587144
1811,2,3,20,389879
3691,4,2,14,681781
3038,4,1,16,591994
4483,2,3,21,703627
664,3,2,5,270520
4777,3,2,2,764805
1322,5,3,12,487617
1443,1,3,15,299278
4925,3,4,7,856641
1274,1,1,29,191246
2698,4,1,14,546396
3656,1,4,16,588350
4742,4,2,16,813096
4195,2,3,21,659782
3952,2,3,25,635389
1414,5,3,12,478672
1808,3,2,16,397818
4677,5,3,5,878361
1013,4,3,16,402720
2420,5,4,15,646306
4094,1,2,13,587852
1909,4,1,12,431216
3690,2,4,5,654527
4991,3,4,2,879087
2055,4,1,13,459079
1304,4,4,13,474856
1779,1,2,14,294303
4077,3,3,7,707160
3401,2,2,28,539705
1887,4,1,14,460679
3261,4,1,21,597592
3179,1,4,28,530099
2606,5,2,26,586253
4723,2,2,12,734655
3268,3,1,16,539880
4453,4,2,20,773627
3686,4,1,23,645016
3780,2,2,2,621568
3073,5,2,27,655105
3099,4,2,5,632573
4533,2,1,4,669345
736,1,4,21,235442
1804,5,2,25,482844
3930,3,1,16,618308
1801,4,1,22,417102
3041,2,2,24,498228
2551,1,2,1,428039
941,3,4,25,363081
2576,2,1,14,440209
3680,2,1,4,561465
3157,3,3,25,574335
4298,1,1,19,558908
1304,1,4,5,334804
574,5,3,5,397273
2675,4,3,26,566552
4424,3,3,17,769733
2589,3,2,17,516604
540,3,2,3,260726
2581,1,1,16,384571
2122,4,3,24,524529
841,5,4,13,477850
4552,2,2,13,681295
2574,2,4,12,501534
1145,3,4,6,404034
4763,4,2,11,832923
1109,1,2,22,212548
954,4,2,14,373402
3453,4,2,18,653740
2208,1,3,10,401830
3972,3,3,14,720034
3469,4,3,11,689539
3528,2,3,2,606233
3181,1,1,16,438736
4129,5,3,2,813633
4725,3,2,18,746853
3567,1,4,19,571419
1886,5,3,3,559112
4276,5,1,2,809487
3366,4,2,25,637020
3863,4,4,15,759609
4624,4,4,11,844666
648,1,3,7,195128
4350,1,4,23,679699
2558,3,3,28,536000
1636,4,3,28,465774
686,5,2,16,395082
3354,2,2,6,560080
1750,3,1,10,389238
1833,1,2,17,318201
4693,3,2,0,772970
4650,3,3,2,796167
3211,3,2,3,594131
2285,3,3,12,521979
1250,2,3,5,335085
2262,4,2,25,495701
4420,5,1,13,796133
4960,3,1,4,790979
981,3,4,15,381799
653,3,4,14,348340
2024,4,2,14,483021
2620,1,1,29,354744
2843,1,3,3,497632
1740,2,4,7,417696
560,1,3,26,185017
1438,3,4,15,437373
2139,3,2,27,438575
4620,3,1,15,699543
4726,2,4,29,748801
4069,3,1,3,652647
1752,1,3,12,321468
4703,4,2,25,783942
671,4,1,27,276667
1958,5,2,12,524357
4049,1,1,1,583679
4697,3,3,2,818651
2822,4,3,21,601287
2136,1,2,7,367038
3615,4,3,23,699897
4590,3,4,14,823753
3504,4,1,10,637587
829,5,3,8,414490
4140,5,4,6,846355
4394,4,2,12,755347
4607,1,4,1,730252
1841,1,2,7,338225
4163,1,2,6,595109
715,4,1,23,278480
838,1,1,11,175299
4562,3,4,18,800649
3208,5,1,6,661392
3652,3,1,9,604356
2250,1,1,28,322045
2921,3,4,24,602847
1209,1,3,15,285789
4226,4,1,2,742025
4142,3,1,29,635107
4493,4,4,9,862719
988,4,3,5,401545
546,2,1,17,185889
3859,1,2,17,553944
900,5,4,4,476614
4490,1,1,20,594413
3657,5,1,28,677287
4845,1,2,6,670899
890,4,2,27,358841
4353,3,4,1,802675
4930,3,4,10,832899
1128,2,2,29,285829
4732,5,4,12,910834
3430,5,2,22,709478
2021,5,1,4,514147
1326,4,2,29,377609
2000,5,2,5,551111
3794,3,3,23,684635
2919,4,2,25,573549
1434,1,2,28,236911
3542,5,3,13,743859
4997,5,4,11,963453
1966,1,3,3,374557
4061,5,1,28,721316
1114,1,3,22,234769
1682,4,1,5,440131
3723,3,4,9,708419
3167,1,3,17,513469
630,2,3,14,247332
3483,1,4,7,580466
4778,5,1,25,813550
4959,4,3,8,861655
538,4,1,4,305125
4459,1,3,9,680979
4087,3,2,19,685146
1420,2,3,5,358284
3269,4,4,15,694479
4611,5,4,23,919754
992,5,1,26,365519
1631,3,3,2,447898
4021,4,1,9,696185
810,1,1,10,147734
1238,5,2,10,454852
3741,3,2,16,659052
1045,4,4,3,458510
2961,4,1,3,584789
4846,4,4,16,902788
2304,4,3,8,539652
3712,4,1,18,665354
4310,5,1,4,794101
1313,3,3,21,390969
4624,4,3,23,821204
2532,2,4,5,507578
4913,2,4,2,825054
744,3,3,21,312334
771,1,4,0,272229
4011,1,3,19,602427
2271,1,1,21,311883
1762,2,1,15,316798
2924,1,2,22,454957
4861,5,1,10,836560
1420,4,3,12,435065
3930,2,4,26,647536
4935,3,2,9,798738
4984,3,4,2,858078
3124,4,3,8,637762
4260,2,1,27,614424
2550,1,2,11,424691
4000,1,3,22,608825
1665,5,2,13,482004
875,5,2,0,423885
